,ニュー,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4D,4,3,4,5,36
1,Back,528,378,172,366,406,397,200,350,491,3288
2,Regular,508,359,152,350,386,373,187,331,472,3118
3,Front,508,359,139,350,386,373,173,331,458,3077
4,Ladies,393,319,119,311,336,326,94,262,345,2505
5,Hdcp,4,7,9,8,1,2,3,6,5,­
