,白砂コースOUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,5D,3N,4,3,4,4,36
1,ﾊﾞｯｸ.T,528,390,425,560,182,419,193,335,410,3442
2,ﾌﾛﾝﾄ.T,496,351,347,514,136,372,171,316,368,3071
3,ｺﾞｰﾙﾄﾞ.T,459,309,261,470,116,310,151,297,293,2666
4,ﾚﾃﾞｨｰｽ.T,373,309,261,409,116,259,145,297,243,2412
5,Hdcp,9,15,3,1,7,13,17,11,5,­
