,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5D,4,4,3N,4,4,5,36
1,Back T.,450,196,558,373,368,177,403,373,514,3412
2,Front T.,416,152,510,322,295,149,361,320,481,3006
3,Ladies T.,285,130,419,296,276,116,258,296,387,2463
4,Hdcp,1,5,4,6,7,9,2,3,8,­
