,中,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3.0,4.0,3.0,4.0,4D,3N,5.0,5.0,36
1,Back T.,559.0,196.0,389.0,168.0,363.0,334,145,480.0,560.0,3194
2,Reg,545.0,180.0,359.0,156.0,348.0,315,130,468.0,545.0,3046
3,Hdcp,,,,,,,,,,­
