,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,4,3,4,5D,36
1,Back,498,405,236,359,439,354,125,380,595,3391
2,Regular,483,386,170,355,407,344,125,364,572,3206
3,Front,465,363,150,333,392,336,115,351,549,3054
4,Gold,451,350,135,290,380,314,100,320,480,2820
5,Ladies,429,300,120,272,334,314,100,293,430,2592
6,Hdcp,15,3,9,13,1,7,17,11,5,­
