,東,1,2,3,4,5,6,7,8,9,計
0,Par,3.0,4.0,4.0,4.0,3N,4D,5.0,4.0,5.0,36
1,Back T.,188.0,301.0,394.0,322.0,172,375,548.0,340.0,493.0,3133
2,Reg,172.0,283.0,374.0,304.0,166,355,534.0,303.0,478.0,2969
3,Hdcp,,,,,,,,,,­
