,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
302 CLUB ATLETICO ESTUDIANTES DE PARANA,Azul,M,73,72.2,95.1,124,36.4  /  122,35.8  /  125
,Rojo,F,73,72.9,102.2,124,36.8  /  127,36.1  /  121
303 CONCORDIA GOLF CLUB,Azul,M,71,71.0,94.4,126,35.3  /  122,35.7  /  130
,Blanco,M,71,70.0,93.8,128,34.8  /  127,35.2  /  129
,Rojo,F,71,69.9,98.5,121,34.8  /  121,35.1  /  121
304 GUALEGUAYCHU COUNTRY CLUB,Colorada Caballeros,M,72,70.3,93.5,125,35.2  /  125,35.1  /  125
,Verde Caballeros,M,70,70.0,92.2,119,35.2  /  119,34.8  /  119
,Verde Damas,F,70,70.8,98.2,116,35.4  /  116,35.4  /  116
,Colorada Damas,F,72,70.2,98.8,121,35.1  /  121,35.1  /  121
307 GOLF CLUB COLON,Azul,M,68,65.8,87.2,115,32.9  /  115,32.9  /  115
,Rojo,F,68,67.8,95.6,118,33.9  /  118,33.9  /  118
309 CLUB SAFRA,Azul,M,72,67.4,89.6,119,33.7  /  119,33.7  /  119
,Rojo,F,72,67.8,94.4,113,33.9  /  113,33.9  /  113
324 CLUB UNIVERSITARIO (CONC. URUGUAY),Azul,M,71,70.3,92.6,120,35.2  /  119,35.1  /  121
,Rojo,F,71,71.5,98.7,116,35.9  /  112,35.6  /  119
326 GOLF CLUB SOCIAL LA PAZ,Azul,M,72,71.4,94.0,122,36.1  /  122,35.3  /  122
,Rojo,F,72,72.1,101.1,123,36.2  /  125,35.9  /  121
332 GOLF AERO CLUB VILLAGUAY,Azul,M,71,69.4,92.0,122,35.0  /  129,34.4  /  114
,Rojo,F,71,70.6,98.8,120,35.5  /  121,35.1  /  118
342 LAS COLINAS GOLF,Azul,M,72,68.8,90.8,118,34.4  /  118,34.4  /  118
,Rojo,F,72,70.2,98.4,120,35.1  /  120,35.1  /  120
345 VICTORIA GOLF COUNTRY CLUB,Blanco Caballeros,M,70,68.5,91.4,124,34.4  /  124,34.1  /  123
,Rojo Damas,F,70,69.3,97.3,119,35.0  /  120,34.3  /  118
351 CLUB DE CAMPO LOS BRETES,Azul,M,72,71.2,93.3,119,35.3  /  118,35.9  /  119
,Rojo,F,72,72.5,101.4,123,35.9  /  121,36.6  /  124
354 TERMAS VILLA ELISA,Azul,M,70,70.0,91.5,116,35.0  /  115,35.0  /  116
,Rojo,F,72,72.4,100.8,120,36.2  /  120,36.2  /  120
360 CLUB DE CAMPO LIBERTADOR SAN MARTIN,Negro,M,70,69.4,91.8,121,34.3  /  121,35.1  /  121
,Azul,M,70,67.2,89.9,123,33.5  /  121,33.7  /  124
,Rojo,M,70,62.7,82.0,104,31.3  /  104,31.4  /  103
,Rojo,F,70,66.8,93.3,112,33.6  /  115,33.2  /  109
