,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,5,4,3,4,4D,36
1,バック,564,394,380,188,517,378,190,431,407,3449
2,レギュラー,554,381,377,176,507,366,170,412,393,3336
3,レディース,460,300,371,148,442,316,103,285,352,2777
4,Hdcp,7,3,11,17,1,15,13,5,9,­
