,衣懸,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,3,5,4,4,5D,36
1,Champion,398,170,412,347,221,457,377,309,525,3216
2,Back,385,159,398,325,209,437,347,279,507,3046
3,Regular,361,155,355,313,204,391,332,254,476,2841
4,Ladies,353,155,229,280,89,315,240,247,399,2307
5,Hdcp,6,8,2,4,7,3,1,9,5,­
