,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,3N,5,4,5D,3,36
1,Back,340,295,350,429,160,520,255,598,167,3114
2,Fro.,322,295,334,410,130,490,245,560,167,2953
3,Hdcp,7,11,9,1,15,5,17,3,13,­
