,犬鳴,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4,4D,3N,5,4,4,36
1,Bule T.,393,574,173,338,410,151,545,393,414,3391
2,White T.,388,569,169,334,391,137,534,378,408,3308
3,Red T.,329,486,108,301,328,86,404,313,271,2626
4,Hdcp,2,6,7,1,8,5,3,9,4,­
