,岩湧,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,3,4D,4,5,36
1,Back,558,417,177,380,353,189,436,450,539,3499
2,Regular,542,387,162,351,319,169,417,419,510,3276
3,Front,514,359,153,332,319,148,417,419,489,3150
4,Gold,466,359,125,316,319,148,314,375,461,2883
5,Lady's Fro,367,296,109,283,259,148,314,282,445,2503
6,Lady's Reg,427,296,109,283,291,148,314,359,445,2672
7,Hdcp,4,2,9,8,5,6,1,3,7,­
