,竹,1,2,3,4,5,6,7,8,9,計
0,Par,5D,4,3N,4,4,4D,4,3,5,36
1,Back,555,420,155,395,345,380,385,165,530,3330
2,Regular,535,405,140,380,330,370,380,160,500,3200
3,Front,505,385,125,373,330,350,345,150,480,3043
4,Ladies,430,300,110,315,315,323,273,132,440,2638
5,Hdcp,1,3,9,2,8,6,4,7,5,­
