,稲倉,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5D,4,4,3N,5,4,4,36
1,Bule T.,387,157,487,351,348,144,514,328,401,3117
2,White T.,336,149,476,339,328,137,489,316,386,2956
3,Red T.,280,132,390,320,321,131,408,299,304,2585
4,Hdcp,1,4,5,8,7,9,3,6,2,­
