,西　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,5,3,4,4,3,5,36
1,Champion,381,500,426,524,181,429,454,230,565,3690
2,Back T.,364,456,412,502,161,389,428,186,542,3440
3,Reg.,345,416,388,478,141,371,395,176,525,3235
4,Front,313,358,324,452,119,334,388,157,469,2914
5,Ladies,287,349,315,432,116,307,326,142,455,2729
6,Hdcp,18,4,8,14,12,2,6,16,10,­
