,松,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,5,4,3N,4,5D,4,36
1,Black,402,241,409,546,393,150,411,594,356,3502
2,Blue,383,217,392,529,374,149,393,581,352,3370
3,White,368,196,371,512,360,134,391,560,321,3213
4,Green,333,155,321,488,346,119,380,442,263,2847
5,Red,333,155,321,488,346,119,380,442,263,2847
6,Hdcp,2,7,1,5,6,9,8,3,4,­
