,松,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,5D,4,4,3,4,36
1,BLUE,368,471,364,160,540,416,351,157,375,3202
2,WHITE,345,455,342,136,524,394,341,138,360,3035
3,RED,324,440,286,122,477,334,291,124,348,2746
4,Hdcp,4,7,2,9,3,1,5,8,6,­
