,西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4,3,4,5,4,4,36
1,Champion,403,537,195,446,204,466,527,488,451,3717
2,Back T.,389,514,154,406,185,439,514,458,422,3481
3,Reg.,372,487,131,382,162,417,497,426,402,3276
4,Front,341,446,116,334,143,399,464,397,365,3005
5,Ladies,312,422,100,296,128,357,414,366,331,2726
6,Hdcp,9,5,15,7,17,1,13,3,11,­
