,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,3N,4,4,5D,4,4,35
1,Back,363,180,310,135,420,320,471,380,310,2889
2,Fro.,343,180,295,135,420,241,471,360,280,2725
3,Hdcp,10,8,16,18,2,14,6,4,12,­
