,竹,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,5,4,3N,4,5D,4,36
1,Black,420,159,403,558,386,240,405,556,392,3519
2,Blue,410,152,401,520,380,235,381,542,304,3325
3,White,405,144,376,496,360,217,348,529,302,3177
4,Green,344,129,356,456,317,205,319,448,244,2818
5,Red,344,129,356,456,317,205,319,448,244,2818
6,Hdcp,7,9,3,1,8,4,2,6,5,­
