,千早,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3N,5.0,4.0,3.0,5D,3.0,4.0,35
1,Back T.,435.0,395.0,153,521.0,420.0,205.0,587,154.0,332.0,3202
2,Reg.,413.0,380.0,143,498.0,395.0,175.0,566,133.0,323.0,3026
3,Hdcp,,,,,,,,,,­
