,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,5,3N,4,4,3,4D,36
1,Back T.,394,481,370,564,149,388,404,194,416,3360
2,Reg.,378,461,350,539,138,371,384,182,395,3198
3,Ladies,251,311,257,370,124,281,248,127,226,2195
4,Hdcp,3,4,7,1,8,2,6,9,5,­
