,綾羽,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,5D,3N,4,4,3,4,36
1,Champion,388,460,314,553,171,467,401,177,400,3331
2,Back,364,444,300,533,158,445,351,162,370,3127
3,Regular,344,424,270,505,140,398,334,150,334,2899
4,Ladies,293,347,257,456,126,325,221,91,242,2358
5,Hdcp,2,8,6,4,7,1,3,9,5,­
