,西,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,4,4,3N,4,5D,36
1,Back T.,496,303,405,199,392,392,135,344,464,3130
2,Reg.,472,288,389,162,377,347,122,323,444,2924
3,Ladies,348,234,261,132,220,285,112,272,370,2234
4,Hdcp,4,6,2,8,3,1,9,7,5,­
