,金剛,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3N,4.0,4.0,4.0,5.0,5D,3.0,4.0,36
1,Back T.,526.0,185,358.0,288.0,423.0,513.0,497,192.0,420.0,3402
2,Reg.,503.0,173,329.0,270.0,346.0,478.0,470,177.0,386.0,3132
3,Hdcp,,,,,,,,,,­
