,梅,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5D,4,4,3N,4,5,36
1,Black,354,327,186,434,338,262,163,395,469,2928
2,Blue,342,308,177,417,325,259,162,392,457,2839
3,White,325,306,175,400,307,241,157,388,453,2752
4,Green,314,294,123,384,277,211,103,352,354,2412
5,Red,314,294,123,384,277,211,103,352,354,2412
6,Hdcp,6,9,4,1,2,8,7,3,5,­
