,五月平,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,4,4,3,5D,3N,4,36
1,Champion,404,525,458,413,426,170,553,172,416,3537
2,Back,384,510,431,397,397,160,538,159,390,3366
3,Regular,361,460,379,365,386,150,509,154,370,3134
4,Ladies,285,380,290,285,326,124,415,99,342,2546
5,Hdcp,8,2,5,4,1,7,3,9,6,­
