,松,1,2,3,4,5,6,7,8,9,計
0,Par,5D,5,3N,4,4,4D,4,3,4,36
1,Back,530,505,188,395,285,450,340,218,370,3281
2,Regular,500,495,170,380,270,440,330,200,355,3140
3,Front,460,475,159,373,255,400,315,180,355,2972
4,Ladies,430,460,153,363,240,340,290,133,340,2749
5,Hdcp,7,3,8,2,9,1,6,5,4,­
