,竹,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4D,3,5,4,3N,4,4,36
1,BLUE,378,498,375,154,547,332,163,395,362,3204
2,WHITE,359,487,360,142,534,326,125,385,335,3053
3,RED,311,403,316,129,464,319,110,335,273,2660
4,Hdcp,2,5,1,9,3,7,8,4,6,­
