,赤阪,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3.0,4.0,4.0,5D,5.0,4.0,3N,4.0,36
1,Back T.,314.0,142.0,392.0,432.0,482,481.0,396.0,195,341.0,3175
2,Reg.,294.0,129.0,360.0,390.0,469,467.0,369.0,154,322.0,2954
3,Hdcp,,,,,,,,,,­
