,大阪湾,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5D,3,4,4,5,3N,4,36
1,Bule T.,369,418,554,143,424,387,500,121,393,3309
2,White T.,364,364,498,130,405,379,481,117,382,3120
3,Red T.,252,300,446,122,305,259,344,76,341,2445
4,Hdcp,4,2,1,6,3,8,7,9,5,­
