,梅,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,4,5D,4,3N,5,36
1,BLUE,379,353,151,347,322,555,349,159,529,3144
2,WHITE,372,339,134,334,305,488,329,149,504,2954
3,RED,259,284,123,262,263,436,279,136,443,2485
4,Hdcp,1,5,9,2,6,3,7,8,4,­
