,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,5,4,4,4,3,4D,5,36
1,バック,369,187,487,350,385,376,183,324,641,3302
2,レギュラー,363,164,468,342,374,361,172,314,621,3179
3,レディース,250,108,408,312,330,332,113,275,431,2559
4,Hdcp,8,16,4,14,2,10,18,12,6,­
