,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,3,5,4D,4,4,4,4,35
1,Back,279,197,144,552,320,264,306,272,275,2609
2,Front,257,180,127,530,295,234,298,238,250,2409
3,Ladies,255,178,127,418,292,232,298,234,250,2284
4,Hdcp,12,4,8,2,6,14,16,10,18,­
