,梅,1,2,3,4,5,6,7,8,9,計
0,Par,5D,4,3,4D,5,4,3N,4,3,35
1,Back,420,345,115,370,525,470,195,370,225,3035
2,Regular,375,330,102,355,505,440,175,280,220,2782
3,Front,350,315,102,345,495,420,170,270,200,2667
4,Ladies,320,305,90,325,300,390,150,260,180,2320
5,Hdcp,1,8,9,7,5,2,6,4,3,­
