,葛城,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,3,4D,4,5,36
1,Back,527,501,190,421,426,204,458,369,526,3622
2,Regular,508,450,177,401,366,182,420,355,505,3364
3,Front,482,405,159,365,360,160,405,355,505,3196
4,Gold,425,342,139,333,244,132,355,251,462,2683
5,Lady's Fro,425,269,139,259,244,132,307,251,462,2488
6,Lady's Reg,425,342,139,333,244,132,355,251,462,2683
7,Hdcp,8,2,7,6,3,5,1,9,4,­
