,金剛,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3,4,4,3N,4D,5,36
1,Back,387,513,405,215,331,441,184,433,565,3474
2,Regular,363,487,374,194,310,401,184,410,545,3268
3,Front,340,487,355,187,310,388,160,380,545,3152
4,Gold,292,487,329,168,278,341,148,351,409,2803
5,Lady's Fro,292,414,304,144,257,341,131,309,409,2601
6,Lady's Reg,292,414,304,144,257,341,131,309,409,2601
7,Hdcp,4,7,5,3,8,1,9,2,6,­
