,みかさ　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4.0,4.0,3.0,4.0,5.0,4D,4D,4.0,4.0,36
1,Back T.,364.0,360.0,176.0,359.0,516.0,372,398,332.0,370.0,3247
2,Hdcp,,,,,,,,,,­
