,センチュリーIn,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,5,4,4,3,4,36
1,Back T.,409,556,380,223,515,467,431,167,388,3536
2,Reg.,387,524,344,151,495,425,414,146,371,3257
3,Front,364,491,318,128,437,413,357,134,336,2978
4,Hdcp,12,4,8,16,10,2,6,18,14,­
