,大福,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5D,4,3N,4,5,4,36
1,Back T.,399,437,148,520,383,178,404,511,452,3432
2,Reg.,383,416,133,503,367,148,388,493,441,3272
3,Front,363,395,116,482,305,133,369,471,418,3052
4,LADYS,296,373,99,380,247,127,312,462,270,2566
5,Hdcp,5,2,8,1,4,7,9,3,6,­
