,センチュリーOut,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,5,4D,4,3,5,4,36
1,Back T.,391,196,385,568,369,458,211,566,398,3542
2,Reg.,363,174,375,551,349,445,188,506,371,3322
3,Front,338,140,355,532,328,428,166,490,349,3126
4,Hdcp,13,17,9,6,11,1,15,5,7,­
