,イースト　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3N,4,4D,5,4,4,3,4,36
1,Blue,562,172,414,406,552,372,407,198,469,3552
2,Ｗｈｉｔｅ,538,147,374,379,527,346,386,179,433,3309
3,Ｇｒｅｅｎ,517,125,349,358,505,324,365,157,412,3112
4,Red,489,109,323,333,471,302,342,134,350,2853
5,Hdcp,10,18,2,12,8,14,4,16,6,­
