,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,4,5D,3,5,4,36
1,Blue,434,465,448,174,401,547,213,545,396,3623
2,White,374,400,353,165,371,515,194,507,368,3247
3,Red,353,392,303,141,303,453,133,436,297,2811
4,Hdcp,13,3,1,17,11,5,7,15,9,­
