,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5D,4,3N,4,4,5,36
1,Back,355,341,178,460,361,151,390,401,521,3158
2,Reg.,340,319,164,450,350,141,381,385,509,3039
3,Front,322,303,138,430,341,131,370,368,503,2906
4,Ladies,280,255,123,430,285,127,330,320,410,2560
5,Platinum,222,255,123,350,210,127,250,250,360,2147
6,Hdcp,4,8,16,14,10,18,2,6,12,­
