,かも　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4.0,4.0,3.0,4.0,4D,5.0,3.0,4.0,5.0,36
1,Back T.,429.0,330.0,180.0,375.0,310,575.0,182.0,321.0,586.0,3288
2,Hdcp,,,,,,,,,,­
