,ウエスト　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5D,4,3,4,5,3N,4,4,36
1,Blue,413,574,384,163,453,569,198,430,419,3603
2,Ｗｈｉｔｅ,390,547,362,163,421,540,170,401,393,3387
3,Ｇｒｅｅｎ,367,526,342,146,399,517,150,381,372,3200
4,Red,346,488,315,123,375,490,125,356,348,2966
5,Hdcp,4,12,14,18,2,10,16,6,8,­
