,西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,4,4,3,4,3N,5,36
1,Blue,426,529,465,367,372,176,359,161,503,3358
2,White,405,503,454,324,350,152,312,150,492,3142
3,Red,384,438,293,304,322,145,280,150,341,2657
4,Hdcp,3,7,1,15,9,5,13,17,11,­
