,西　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,4,4,5,4,3,5D,36
1,Blue,346,323,179,333,331,497,331,145,486,2971
2,White,330,302,165,315,318,481,281,131,475,2798
3,Red,287,302,150,296,307,459,221,111,452,2585
4,Hdcp,16,12,6,4,10,8,14,18,2,­
