,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4D,5,3,4,5,4,36
1,バック,395,344,173,356,554,196,357,512,418,3305
2,レギュラー,354,328,164,332,519,175,303,479,386,3040
3,レディース,362,323,162,340,525,163,313,486,389,3063
4,Hdcp,5,15,17,9,1,11,13,7,3,­
