,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,3N,4,4,4,3,5,36
1,バック,399,326,491,160,376,411,437,200,533,3333
2,レギュラー,363,300,490,142,364,398,400,180,508,3145
3,レディース,294,290,417,117,234,323,337,151,419,2582
4,Hdcp,8,16,6,18,14,4,2,12,10,­
