,イースト　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,4,4,3N,5,4D,36
1,Blue,528,373,448,159,385,382,201,524,432,3432
2,Ｗｈｉｔｅ,502,350,422,143,362,350,178,499,406,3212
3,Ｇｒｅｅｎ,483,329,400,124,341,333,156,479,378,3023
4,Red,459,309,374,108,312,307,131,454,355,2809
5,Hdcp,13,7,1,17,11,3,15,9,5,­
