,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3,5,4,3N,4,4,4,4D,36
1,Blue,525,155,511,335,164,330,408,383,386,3197
2,White,500,140,506,325,157,307,386,371,358,3050
3,Red,452,140,377,262,140,307,386,336,300,2700
4,Hdcp,8,6,4,18,16,14,2,10,12,­
