,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3N,4,4,5,4,3,4D,4,36
1,Back,594,210,424,362,542,345,220,375,391,3463
2,Regular,564,202,390,354,526,318,182,362,376,3274
3,Front,534,161,360,332,519,310,165,349,366,3096
4,Ladies,473,131,309,323,373,302,95,280,298,2584
5,Hdcp,4,14,8,16,2,18,12,6,10,­
