,かも　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3N,4.0,5.0,3.0,4.0,4D,4.0,4.0,36
1,Back T.,491.0,181,357.0,499.0,172.0,356.0,364,394.0,368.0,3182
2,Hdcp,,,,,,,,,,­
