,ウエスト　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,5,4,3,4D,4,4,36
1,Blue,523,395,183,500,356,154,404,413,400,3328
2,Ｗｈｉｔｅ,497,371,159,477,339,131,383,389,373,3119
3,Ｇｒｅｅｎ,476,350,140,456,321,108,357,368,353,2929
4,Red,445,330,129,432,303,84,337,346,332,2738
5,Hdcp,9,3,15,13,11,17,1,5,7,­
