,みかさ　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3N,4.0,4D,3.0,4.0,5.0,4.0,4.0,36
1,Back T.,493.0,149,339.0,466,237.0,464.0,594.0,418.0,399.0,3559
2,Hdcp,,,,,,,,,,­
