,東　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5D,3N,4,4,4,3,5,4,36
1,Blue,391,533,192,388,416,404,168,505,401,3398
2,White,357,497,164,348,360,362,160,475,356,3079
3,Red,294,415,128,328,274,250,131,432,315,2567
4,Hdcp,8,2,12,10,4,16,18,6,14,­
