,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4,3N,5,4,4,3,4,36
1,Black,409,556,380,223,515,467,431,167,388,3536
2,Blue,387,524,344,151,495,425,414,146,371,3257
3,White,364,491,318,140,485,413,357,134,336,3038
4,Red,317,453,296,112,426,361,295,106,300,2666
5,Hdcp,12,4,8,16,10,2,6,18,14,­
