,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
CLUB CAMPESTRE DE MORELIA,AZULES,M,72,71.6,95.6,129,35.8  /  129,35.8  /  129
,BLANCAS,M,72,71.2,94.4,126,35.6  /  126,35.6  /  126
,DORADAS,M,72,68.6,92.0,126,34.3  /  126,34.3  /  126
,BLANCAS,F,72,76.6,112.0,150,38.3  /  150,38.3  /  150
,ROJAS,F,72,69.2,100.1,131,34.6  /  131,34.6  /  131
CLUB DE GOLF TRES MARIAS - EL DESAFIO,NEGRAS,M,72,75.6,102.6,145,38.1  /  140,37.5  /  150
,AZULES,M,72,73.5,99.9,143,37.2  /  139,36.3  /  146
,BLANCAS,M,72,70.5,96.0,137,35.9  /  130,34.6  /  143
,DORADAS,M,72,65.7,88.4,122,34.2  /  123,31.5  /  121
,BLANCAS,F,72,75.9,112.3,153,38.5  /  154,37.4  /  152
,ROJAS,F,72,68.0,99.8,134,35.4  /  139,32.6  /  129
CLUB DE GOLF TRES MARIAS - EL RETO,NEGRAS,M,72,75.1,101.0,139,37.0  /  138,38.1  /  140
,AZULES,M,72,73.7,99.0,137,36.5  /  134,37.2  /  139
,BLANCAS,M,72,70.9,94.9,129,35.1  /  128,35.9  /  130
,DORADAS,M,72,67.8,91.1,125,33.7  /  127,34.2  /  123
,BLANCAS,F,72,76.7,112.3,152,38.2  /  148,38.5  /  155
,ROJAS,F,72,69.8,101.4,134,34.4  /  128,35.4  /  140
CLUB DE GOLF TRES MARIAS - FRONT / BACK BACK,NEGRAS,M,72,74.5,101.3,144,37.0  /  138,37.5  /  150
,AZULES,M,72,72.8,98.7,140,36.5  /  134,36.3  /  146
,BLANCAS,M,72,69.7,94.9,136,35.1  /  128,34.6  /  143
,DORADAS,M,72,65.2,88.3,124,33.7  /  127,31.5  /  121
,BLANCAS,F,72,75.6,111.0,149,38.2  /  146,37.4  /  152
,ROJAS,F,72,67.0,97.4,128,34.4  /  127,32.6  /  129
CLUB DE GOLF TRES MARIAS - FRONT / FRONT,NEGRAS,M,72,74.0,99.6,138,37.0  /  138,37.0  /  138
,AZULES,M,72,73.0,97.8,134,36.5  /  134,36.5  /  134
,BLANCAS,M,72,70.2,93.8,128,35.1  /  128,35.1  /  128
,DORADAS,M,72,67.4,91.0,127,33.7  /  127,33.7  /  127
,BLANCAS,F,72,76.4,111.0,148,38.2  /  148,38.2  /  148
,ROJAS,F,72,68.8,99.0,128,34.4  /  128,34.4  /  128
EL BOSQUE - EL BOSQUE COUNTRY CLUB DE GRAN JARDIN,NEGRAS,M,72,76.7,102.7,141,38.8  /  146,37.9  /  135
,AZULES,M,72,73.2,97.7,133,36.6  /  131,36.6  /  134
,BLANCAS,M,72,71.3,95.1,129,35.8  /  132,35.5  /  125
,DORADAS,M,72,68.6,91.4,123,34.6  /  126,34.0  /  120
,ROJAS,F,72,68.9,98.8,127,35.0  /  133,33.9  /  121
GOLF BOSQUE MONARCA - ALTOZANO,NEGRAS,M,72,74.8,101.9,146,37.4  /  146,37.4  /  146
,AZULES,M,72,73.3,99.0,139,36.7  /  139,36.6  /  138
,BLANCAS,M,72,70.7,95.1,131,35.6  /  131,35.1  /  131
,DORADAS,M,72,68.3,90.7,121,34.6  /  128,33.7  /  113
,ROJAS,F,70,71.1,103.6,138,35.7  /  138,35.4  /  137
HACIENDA CANTALAGUA COUNTRY CLUB - HACIENDA CANTALAGUA,AZULES,M,72,72.5,96.6,130,37.3  /  129,35.2  /  131
,BLANCAS,M,72,70.1,93.8,128,36.3  /  129,33.9  /  125
,DORADAS,M,72,67.7,88.3,111,34.5  /  120,33.1  /  101
,BLANCAS,F,72,76.8,112.0,149,39.7  /  146,37.1  /  152
,ROJAS,F,72,70.6,102.5,135,36.3  /  143,34.2  /  128
