,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
COUNTRY CLUB DE CULIACAN - CULIACAN,AZULES,M,71,72.1,94.8,122,35.2  /  122,36.9  /  122
,BLANCAS,M,71,69.7,92.0,119,34.1  /  120,35.6  /  118
,DORADAS,M,71,68.3,89.5,115,33.4  /  115,34.9  /  115
,ROJAS,F,71,70.8,97.9,116,34.9  /  114,35.9  /  117
El Cid Golf & CC - Castilla - Marina,Blue C/M,M,72,72.6,96.0,127,35.8  /  126,36.8  /  127
,White C/M,M,72,70.5,93.4,124,35.0  /  122,35.5  /  125
,MIXED C/M,M,72,68.5,90.6,120,33.8  /  121,34.7  /  118
,GOLD C/M,M,72,66.8,87.3,111,32.8  /  109,34.0  /  112
,Red C/M,M,72,64.1,83.0,102,32.2  /  103,31.9  /  100
,Orange C/M,M,72,60.8,78.6,96,30.1  /  93,30.7  /  99
,White C/M,F,72,76.3,107.7,133,37.7  /  132,38.6  /  134
,Gold C/M,F,72,73.0,102.9,127,36.0  /  125,37.0  /  129
,Red C/M,F,72,70.2,99.3,124,35.4  /  115,34.8  /  132
,COMBINED,F,72,67.0,94.3,117,33.7  /  115,33.3  /  118
,Orange C/M,F,72,65.2,91.4,111,33.2  /  114,32.0  /  108
El Cid Golf & CC - Marina - Moro,Blue M/M,M,72,73.4,97.6,130,36.6  /  130,36.8  /  130
,White M/M,M,72,71.4,94.9,127,35.5  /  126,35.9  /  127
,MIXED M/M,M,72,69.1,92.0,123,34.6  /  119,34.5  /  127
,GOLD M/M,M,72,67.5,89.2,117,33.8  /  122,33.7  /  112
,Red M/M,M,72,65.6,85.0,104,32.3  /  103,33.3  /  105
,Orange M/M,M,72,61.2,78.7,95,30.4  /  94,30.8  /  95
,White M/M,F,72,77.7,109.3,134,38.7  /  136,39.0  /  132
,Gold M/M,F,72,73.6,104.1,129,37.0  /  138,36.6  /  120
,Red M/M,F,72,71.0,100.7,126,34.8  /  125,36.2  /  127
,Combined,F,72,68.3,96.4,120,33.5  /  122,34.8  /  117
,Orange M/M,F,72,65.6,92.0,112,32.7  /  109,32.9  /  114
El Cid Golf & CC - Moro-Castilla,Blue,M,72,72.7,96.8,129,36.9  /  131,35.8  /  127
,White,M,72,71.0,94.5,127,36.0  /  129,35.0  /  124
,Mixed,M,72,68.9,91.6,122,34.7  /  129,34.2  /  115
,Gold,M,72,66.4,87.0,112,33.6  /  112,32.8  /  111
,Red,M,72,64.9,84.0,103,32.8  /  103,32.1  /  102
,Orange,M,72,60.9,78.5,95,31.0  /  100,29.9  /  89
,Gold,F,72,72.6,103.2,130,36.7  /  131,35.9  /  128
,Red,F,72,71.2,101.1,127,36.1  /  135,35.1  /  119
,Combined,F,72,67.4,95.9,121,33.8  /  131,33.6  /  111
,Orange,F,72,64.2,90.2,111,32.5  /  118,31.7  /  103
