,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
CANCUN GOLF CLUB AT POK TA POK - POK TA POK,AZULES,M,72,74.3,98.8,132,36.7  /  129,37.6  /  135
,BLANCAS,M,72,71.0,94.6,127,35.3  /  127,35.7  /  127
,AMARILLAS,M,72,68.1,91.0,124,33.9  /  123,34.2  /  124
,ROJAS,F,72,71.1,99.9,122,35.4  /  118,35.7  /  126
COZUMEL COUNTRY CLUB - COZUMEL,BLACK,M,72,72.9,98.6,138,35.7  /  131,37.2  /  145
,BLUE,M,72,70.5,94.9,132,34.7  /  125,35.8  /  138
,WHITE,M,72,67.4,90.2,122,33.1  /  115,34.3  /  129
,WHITE,F,72,73.0,106.0,140,35.8  /  133,37.2  /  147
,GOLD,F,72,68.9,98.4,126,33.6  /  120,35.3  /  131
EL CAMALEON MAYAKOBA,NEGRAS,M,72,74.8,100.7,139,37.4  /  133,37.4  /  145
,AZULES,M,72,72.6,97.3,133,36.4  /  133,36.2  /  132
,BLANCAS,M,72,70.8,94.0,126,35.6  /  128,35.2  /  123
,VERDES,M,72,69.3,91.3,119,35.1  /  118,34.2  /  119
,VERDES,F,72,72.9,103.4,130,36.9  /  129,36.0  /  130
,ROJAS,F,72,71.5,100.1,120,36.0  /  120,35.5  /  120
GRAN COYOTE GOLF - GRAN COYOTE,NEGRAS,M,71,74.8,100.9,141,37.0  /  135,37.8  /  146
,DORADAS,M,71,72.9,98.5,138,36.0  /  132,36.9  /  143
,AZULES,M,71,71.4,96.5,136,35.4  /  131,36.0  /  140
,BLANCAS,M,71,69.6,93.1,126,34.4  /  120,35.2  /  132
,ROJAS,F,71,70.9,100.5,126,34.7  /  120,36.2  /  131
IBEROSTAR CANCUN GOLF CLUB - IBEROSTAR CANCUN,AZULES,M,72,72.5,95.4,124,36.4  /  124,36.1  /  123
,BLANCAS,M,72,70.2,91.9,117,35.1  /  117,35.1  /  116
,AMARILLAS,M,72,69.4,90.7,115,35.3  /  115,34.1  /  114
,ROJAS,F,72,70.4,97.7,116,35.6  /  116,34.8  /  115
PLAYA MUJERES GOLF CLUB - PLAYA MUJERES,BLACK,M,72,74.1,99.2,135,36.7  /  133,37.4  /  137
,GOLD,M,72,71.4,95.0,127,35.3  /  124,36.1  /  130
,SILVER,M,72,69.7,92.7,124,34.3  /  122,35.4  /  126
,COPPER,M,72,67.8,88.2,110,33.3  /  107,34.5  /  113
,JADE,F,72,69.7,97.6,118,33.8  /  115,35.9  /  121
PUERTO CANCUN GOLF CLUB - PUERTO CANCUN,NEGRAS,M,72,75.1,100.4,136,38.4  /  143,36.7  /  129
,AZULES,M,72,73.3,97.4,130,37.3  /  135,36.0  /  125
,BLANCAS,M,72,71.3,94.8,127,36.2  /  131,35.1  /  122
,AMARILLAS,M,72,68.7,91.4,122,34.6  /  130,34.1  /  114
,AMARILLAS,F,72,73.2,104.5,133,37.3  /  137,35.9  /  128
,ROJAS,F,72,70.3,99.0,122,35.5  /  131,34.8  /  113
RIVIERA CANCUN GOLF CLUB - RIVIERA CANCUN,NEGRAS,M,72,74.6,102.4,150,36.7  /  146,37.9  /  153
,AZULES,M,72,71.7,97.9,141,35.3  /  144,36.4  /  137
,BLANCAS,M,72,70.4,95.4,135,34.5  /  137,35.9  /  132
,ROJAS,F,72,69.6,99.8,128,34.7  /  125,34.9  /  131
RIVIERA MAYA GOLF COURSE - RIVIERA MAYA,NEGRAS,M,72,75.4,99.9,132,37.6  /  135,37.8  /  129
,AZULES,M,72,72.4,95.8,126,36.1  /  127,36.3  /  125
,BLANCAS,M,72,69.1,91.5,121,34.3  /  116,34.8  /  125
,ROJAS,F,72,70.5,99.0,121,35.1  /  121,35.4  /  120
