,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5,4,3N,4D,4,5D,36
1,Black,463,390,185,550,388,215,410,443,555,3599
2,Blue,425,365,172,523,358,200,390,422,510,3365
3,White,391,349,163,493,328,170,362,400,475,3131
4,Gold,368,325,141,375,312,149,330,263,455,2718
5,Peach,308,260,123,362,255,90,265,245,405,2313
6,Red,308,268,126,365,265,141,265,249,405,2392
7,Hdcp,4,16,10,2,14,8,18,6,12,­
