,那須,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,36
1,Blue,554.0,348.0,468.0,369.0,175.0,395.0,199.0,492.0,352.0,3352
2,White,530.0,334.0,441.0,353.0,160.0,372.0,174.0,474.0,337.0,3175
3,Green,493.0,298.0,325.0,326.0,147.0,320.0,156.0,417.0,307.0,2789
4,Red,493.0,298.0,325.0,326.0,100.0,320.0,127.0,417.0,307.0,2713
5,Hdcp,,,,,,,,,,­
