,SOUTH,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,36
1,バック,455.0,419.0,202.0,589.0,319.0,394.0,422.0,177.0,549.0,3526
2,レギュラー,415.0,389.0,171.0,511.0,282.0,361.0,352.0,125.0,517.0,3123
3,レディース,345.0,300.0,145.0,407.0,88.0,315.0,305.0,98.0,429.0,2432
4,Hdcp,,,,,,,,,,­
